f,alpha,c,U_infinity,delta
4000,11.2,0.0508,71.3,0.014072
4000,17.4,0.0254,31.7,0.0176631
250,17.4,0.0254,39.6,0.0172206
3150,4.0,0.3048,71.3,0.00497773
4000,3.0,0.3048,55.5,0.00452492
2500,12.3,0.1016,71.3,0.0337792
10000,4.8,0.0254,55.5,0.000873218
1000,0.0,0.2286,39.6,0.00253511
1600,15.4,0.0508,31.7,0.0289853
1600,4.0,0.3048,71.3,0.00497773
1000,2.7,0.1524,71.3,0.00243851
1600,19.7,0.0508,71.3,0.0341183
1000,11.2,0.0508,71.3,0.014072
400,15.4,0.0508,71.3,0.0264269
800,15.6,0.1016,71.3,0.0437259
4000,15.6,0.1016,71.3,0.0437259
16000,0.0,0.1524,71.3,0.0015988
2000,3.3,0.1016,55.5,0.002211
1600,5.3,0.2286,39.6,0.00614329
500,12.6,0.1524,71.3,0.0483159
1000,0.0,0.3048,55.5,0.00283081
8000,2.7,0.1524,39.6,0.00294804
1250,9.5,0.0254,39.6,0.00449821
2500,0.0,0.1016,31.7,0.00150092
2500,9.9,0.1524,39.6,0.0233328
4000,15.4,0.0508,39.6,0.0282593
8000,0.0,0.2286,71.3,0.00214345
12500,4.0,0.2286,71.3,0.00400603
1250,2.7,0.1524,39.6,0.00294804
1000,17.4,0.0254,55.5,0.0165706
2000,6.7,0.1016,55.5,0.0052139
3150,0.0,0.1016,55.5,0.00131983
10000,5.3,0.2286,71.3,0.0051942
2500,3.0,0.3048,55.5,0.00452492
1000,17.4,0.0254,39.6,0.0172206
3150,0.0,0.0508,55.5,0.00076193
1600,0.0,0.0508,71.3,0.000740478
6300,0.0,0.3048,31.7,0.00331266
2000,2.0,0.2286,55.5,0.00313525
315,17.4,0.0254,31.7,0.0176631
400,12.3,0.1016,39.6,0.0408268
2500,2.0,0.2286,39.6,0.00346574
3150,11.2,0.0508,71.3,0.014072
400,7.2,0.1524,39.6,0.00909175
2000,0.0,0.2286,39.6,0.00253511
4000,9.5,0.0254,55.5,0.0043284
400,9.5,0.0254,55.5,0.0043284
1600,8.4,0.0508,71.3,0.00529514
4000,4.8,0.0254,39.6,0.000907475
315,11.2,0.0508,71.3,0.014072
250,8.9,0.1016,39.6,0.0124596
6300,0.0,0.1016,39.6,0.00146332
500,4.0,0.3048,39.6,0.00579636
3150,4.0,0.2286,39.6,0.00473801
4000,8.4,0.0508,55.5,0.00544854
3150,5.4,0.1524,39.6,0.00485029
1000,5.4,0.1524,31.7,0.00525474
200,9.9,0.1524,39.6,0.0233328
2000,9.9,0.1524,71.3,0.0193001
400,17.4,0.0254,39.6,0.0172206
630,4.0,0.2286,71.3,0.00400603
4000,0.0,0.2286,31.7,0.0027238
